company,company_website,industry,job_title,pub_date,job_url,source
Fujitsu Technology Solutions Sp. z o.o.,,,SSC - Chief Accountant Poland,2025-09-19,"https://www.pracuj.pl/praca/ssc-chief-accountant-poland-lodz-milionowa-4,oferta,1004325761",pracuj.pl
Michael Page,,,Główna Księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowna-ksiegowa-wroclaw,oferta,1004350339",pracuj.pl
Hays Poland,,,Chief Accountant,2025-09-19,"https://www.pracuj.pl/praca/chief-accountant-gdansk,oferta,1004355547",pracuj.pl
Rekrutacja 360 - Pracuj.pl,,,Główny Księgowy,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-gdynia,oferta,1004356845",pracuj.pl
INTER PARTS Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-19,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-stawiguda-pow-olsztynski-jarzebinowa-4,oferta,1004331103",pracuj.pl
Automat-Spec Sp. z o.o. Sp. k.,,,Główna Księgowa / Główny Księgowy,2025-09-19,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-kaszow-pow-krakowski-wadowicka-7,oferta,1004334099",pracuj.pl
Ficomirrors Polska,,,Główny Księgowy / Główna Księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-dabrowa-gornicza-koksownicza-30,oferta,1004331025",pracuj.pl
FABRYKI SPRZĘTU I NARZĘDZI GÓRNICZYCH GRUPA KAPITAŁOWA FASING S.A.,,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-katowice-modelarska-11,oferta,1004364925",pracuj.pl
"SPÓŁDZIELCZA AGENCJA MARKETINGOWA ""INTER - ROL""",,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-bielsk-podlaski-mikolaja-kopernika-5,oferta,1004330416",pracuj.pl
WINS LAB sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wroclaw-boleslawa-krzywoustego-105,oferta,1004340731",pracuj.pl
LINDY CAPITAL sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-wspolna-70,oferta,1004319712",pracuj.pl
NITROERG S.A.,,,Główny Księgowy,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-bierun,oferta,1004348536",pracuj.pl
EUROCONSOL SPÓŁKA AKCYJNA,,,Główny Księgowy / Główna Księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-aleje-jerozolimskie-65-79,oferta,1004339927",pracuj.pl
Edica Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-19,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-poznan-forteczna-3,oferta,1004332672",pracuj.pl
VeloLeasing S.A.,,,Główna Księgowa / Główny Księgowy,2025-09-19,https://pracodawcy.pracuj.pl/company/20311314?pid=1004332233&multiple=true,pracuj.pl
Markos Sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-slupsk,oferta,1004363455",pracuj.pl
PH BOCIAN JULITA KULIK,,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-kielce-leszczynska-69a,oferta,1004332093",pracuj.pl
LSJ HR GROUP,,,Główna księgowa / Główny księgowy,2025-09-19,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-szczecin,oferta,1004347608",pracuj.pl
